mixture_collection	indiv	1. Alaska	2. Central	3. Southwest	4. East	5. WesternBoreal	State	Town	Stage	longitude	latitude
mixture	02N0291	0.00616417065781101	0.0000000000000000000000000000134460047280719	0.00129217324057779	0.0000000000000000000000000000000000000000000000000000000000000000095724354112472	0.992543656101612	Granada	Granada	Wintering	-86.01	11.8
mixture	04N8955	0.0000000000000000190763718193237	0.999999998481402	0.0000000014962142419878	0.0000000000223841003381888	0.000000000000000141438515957064	Guanacaste	Guardia	Wintering	-85.62	10.6
mixture	04N8956	0.00000000000000000185507789790234	0.999999996255735	0.00000000366642326651995	0.0000000000778407982815721	0.00000000000000000548916425910788	Guanacaste	Guardia	Wintering	-85.62	10.6
mixture	04N8957	0.000000000000000000013750137253147	0.999999999788501	0.0000000000425989749984	0.000000000168898109258033	0.0000000000000000000265129410483931	Guanacaste	Guardia	Wintering	-85.62	10.6
mixture	04N8958	0.0000000000545284532370644	0.998382814751166	0.00161717450536788	0.0000000000000000149254212653511	0.0000000106889366369614	Guanacaste	Guardia	Wintering	-85.62	10.6
mixture	04N8959	0.0000000647811461111717	0.0722445988624071	0.927754468198643	0.000000000000000000076675981363018	0.000000868157803679192	Guanacaste	Guardia	Wintering	-85.62	10.6
mixture	04N8960	0.00000127726602719697	0.000450790708345927	0.999532660757804	0.00000000000000000000000019315407589846	0.0000152712678250197	Guanacaste	Guardia	Wintering	-85.62	10.6
mixture	04N8961	0.00000831889195666684	0.0000000000314232356494805	0.999990641238707	0.0000000000000000000000000000000000107215986186426	0.00000103983791408006	Guanacaste	Guardia	Wintering	-85.62	10.6
mixture	04N8962	0.00474724710174396	0.00000000912886483375432	0.973520683987693	0.00000000000000000000000000000000111984487459695	0.0217320597816971	Guanacaste	Guardia	Wintering	-85.62	10.6
mixture	04N8964	0.0000000130037930086602	0.0000000000000000000000000000000000951143517394203	0.000225972951249296	0.00000000000000000000000000000000000000000000000000000000000000000000000000847977197454471	0.999774014044958	Guanacaste	Guardia	Wintering	-85.62	10.6
mixture	04N8965	0.0000000000000000000208591244885499	0.999999999360193	0.00000000000000000306599917882667	0.000000000639805748295073	0.0000000000000000000001120468573549	Guanacaste	Guardia	Wintering	-85.62	10.6
mixture	04N8966	0.00000170383589673745	0.00000000000000000000000000000000936573847723655	0.0981179539163101	0.00000000000000000000000000000000000000000000000000000000000000000000000304552291316234	0.901880342247794	Guanacaste	Guardia	Wintering	-85.62	10.6
mixture	04N8967	0.0000771901034844568	0.000000000000113793415983967	0.998395538137806	0.00000000000000000000000000000000000000155346820245027	0.00152727175859579	Guanacaste	Guardia	Wintering	-85.62	10.6
mixture	04N8980	0.00000288998446356679	0.000000000000000750536468810012	0.999993633951082	0.0000000000000000000000000000000000000000000900243059145711	0.00000347606445312994	Guanacaste	Guardia	Wintering	-85.62	10.6
mixture	04N8981	0.000000190072569899531	0.999982911934761	0.0000167449053517717	0.0000000000000000116153132497869	0.000000153087320132343	Guanacaste	Guardia	Wintering	-85.62	10.6
mixture	04N8982	0.00000000441658981162683	0.00460116763270243	0.995392766258221	0.000000000000000000000193529698093082	0.00000606169248756389	Guanacaste	Guardia	Wintering	-85.62	10.6
mixture	07N50568	0.99888843554731	0.0000000000749455651932901	0.000123246411576703	0.00000000000000000000000000000000000000668330796940725	0.000988317966168312	Guanacaste	Liberia	Wintering	-85.67	10.78
mixture	07N50569	0.0000000375556715027007	0.000000000000000000000000000000000115357846235772	0.0000423324095081577	0.0000000000000000000000000000000000000000000000000000000000000000000000000136262489725536	0.999957630034818	Guanacaste	Liberia	Wintering	-85.67	10.78
mixture	07N50570	0.00000000137262527195814	0.000000000000000000000000000000000481497895871825	0.0000425558778530153	0.000000000000000000000000000000000000000000000000000000000000000000000102912292077054	0.999957442749521	Guanacaste	Liberia	Wintering	-85.67	10.78
mixture	07N50609	0.000000000175647894829909	0.999999989263033	0.0000000105611357980871	0.000000000000148755294087387	0.0000000000000347208155443032	Guanacaste	Liberia	Wintering	-85.67	10.78
mixture	07N50612	0.000000162992499340066	0.999999619400208	0.000000216930605667755	0.000000000000000000314624996585526	0.000000000676685795697619	Guanacaste	Liberia	Wintering	-85.67	10.78
mixture	07N50613	0.00000174611424554734	0.00000000000000000000000000072138042925803	0.0072925904362659	0.000000000000000000000000000000000000000000000000000000000000000391597528365022	0.992705663449486	Guanacaste	Liberia	Wintering	-85.67	10.78
mixture	07N50784	0.0000109481506964216	0.698235101197319	0.301738807506337	0.0000000000000000000268040490647409	0.0000151431456455184	Guanacaste	Liberia	Wintering	-85.67	10.78
mixture	07N50806	0.00000000524634928786357	0.000000000000000000000000000000000603931325450669	0.00285146283493445	0.000000000000000000000000000000000000000000000000000000000000000000000000918595144421687	0.997148531918717	Guanacaste	Liberia	Wintering	-85.67	10.78
