event-id,visible,timestamp,location-long,location-lat,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
14314313939,true,2015-06-24 03:35:00.000,-70.56,43.7,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313940,true,2015-06-24 19:46:00.000,-70.53,43.71,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313941,true,2015-06-25 03:34:00.000,-70.51,43.72,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313942,true,2015-06-25 19:45:00.000,-70.49,43.74,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313943,true,2015-06-26 03:54:00.000,-70.47,43.77,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313944,true,2015-06-26 19:49:00.000,-70.45,43.78,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313945,true,2015-06-27 03:38:00.000,-70.37,43.85,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313946,true,2015-06-27 19:37:00.000,-70.35,43.88,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313947,true,2015-06-28 04:08:00.000,-70.33,43.91,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313948,true,2015-06-28 19:33:00.000,-70.32,43.92,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313949,true,2015-06-29 03:50:00.000,-70.31,43.92,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313950,true,2015-06-29 19:53:00.000,-70.31,43.92,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313951,true,2015-06-30 03:39:00.000,-70.31,43.93,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313952,true,2015-06-30 19:48:00.000,-70.31,43.93,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313953,true,2015-07-01 03:44:00.000,-70.31,43.92,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313954,true,2015-07-01 19:46:00.000,-70.32,43.92,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
14314313955,true,2015-07-02 03:42:00.000,-70.31,43.92,"solar-geolocator","Setophaga petechia","129-Tag","129","Yellow Warler_Witynski"
